Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE64016,"Single cell RNA-seq data of human hESCs to evaluate Oscope - a statistical pipeline for identifying oscillatory genes in unsynchronized single cell RNA-Seq","Expression profiling by high throughput sequencing","Homo sapiens",460,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64016/suppl",26301841,SRP050992,"Ning Leng","Jun 24, 2015"
GSE68645,"The DAXX co-repressor is directly recruited to active regulatory elements genome-wide to regulate autophagy programs in a model of human prostate cancer (RNA-seq)","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68645/suppl",26097870,SRP058098,"Christopher Benner","Jun 24, 2015"
GSE68656,"The DAXX co-repressor is directly recruited to active regulatory elements genome-wide to regulate autophagy programs in a model of human prostate cancer","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",12,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68656/suppl",26097870,,"Christopher Benner","Jun 24, 2015"
GSE70151,"C1 analysis using mixtures of human (HEK) and mouse (3T3) cells","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",192,,"BAM","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70151/suppl",26000488,SRP059775,"Evan Macosko","Jun 24, 2015"
GSE60477,"The oncofusion protein FUS-ERG targets key hematopoietic regulators and modulates the all-trans retinoic acid signaling pathway in t(16;21) acute myeloid leukemia","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",20,,"WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60477/suppl",26148230,SRP045565,"Joost Martens","Jun 23, 2015"
GSE45162,"Mutational activation of a mechanosensitive megachannel drives metastatic cell survival.","Expression profiling by high throughput sequencing","Homo sapiens",8,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE45nnn/GSE45162/suppl",26098574,SRP019275,"David Soong","Jun 22, 2015"
GSE66173,"Genetic disruption of COX-1 inhibits multiple oncogenic pathways","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66173/suppl",25972361,SRP055392,"Dineo Khabele","Jun 22, 2015"
GSE70061,"Nuclear HNRNPA2B1 HITS-CLIP and RNA-seq","Other;Expression profiling by high throughput sequencing","Homo sapiens",14,,"BEDGRAPH;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70061/suppl",26321680,SRP059692,"Claudio Alarcon","Jun 20, 2015"
GSE66885,"renal cell carcinoma","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",22,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66885/suppl",26073078,,"Jeff Nie","Jun 19, 2015"
GSE69986,"Expression profiling of invasive breast carcinoma samples from Institut Curie","Expression profiling by high throughput sequencing","Homo sapiens",255,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69986/suppl",,,"Tatiana Popova","Jun 19, 2015"
GSE58586,"Characterizing the Chemoresistant Ovarian Cancer Population using the Heterogeneous PDX","Expression profiling by high throughput sequencing","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58586/suppl",,SRP043320,"Charles Landen","Jun 17, 2015"
GSE63234,"Dynamics of MBD2 deposition across methylated DNA regions during malignant transformation of human mammary epithelial cells (2)","Expression profiling by high throughput sequencing","Homo sapiens",16,,"TAB;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63234/suppl",26007656,SRP049756,"Robert Dante","Jun 17, 2015"
GSE63237,"Dynamics of MBD2 deposition across methylated DNA regions during malignant transformation of human mammary epithelial cells","Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing;Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by genome tiling array;Methylation profiling by genome tiling array","Homo sapiens",30,,"BED;BEDGRAPH;CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63237/suppl",26007656,,"Robert Dante","Jun 17, 2015"
GSE64233,"Acute TNF-induced repression of cell identity genes is mediated by NFkB-directed redistribution of cofactors from super-enhancers","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",36,,"BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64233/suppl",26113076,SRP051211,"Susanne Mandrup","Jun 17, 2015"
GSE66879,"RNA sequencing of SETD2 isogenic renal cell carcinoma cell lines","Expression profiling by high throughput sequencing","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66879/suppl",26073078,SRP056153,"Jeff Nie","Jun 17, 2015"
GSE68919,"Tumor exosome integrins determine organotropic metastasis","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68919/suppl",25985394,SRP058375,"David Lyden","Jun 17, 2015"
GSE53386,"Single-cell RNA-Seq transcriptome analysis of circular RNAs in mouse embryos","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",118,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53386/suppl",,SRP034543,"Xiaoying Fan","Jun 16, 2015"
GSE64713,"Regulating Interleukin-2 activity with engineered receptor signaling clamps","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",20,,"BED;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64713/suppl",25992859,SRP051736,"Peng Li","Jun 16, 2015"
GSE69890,"The genetic control of left atrial gene expression determined by RNA sequencing","Expression profiling by high throughput sequencing","Homo sapiens",1,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69890/suppl",,,"Jeff Hsu","Jun 16, 2015"
GSE65688,"Tat controls RNA Polymerase II and the epigenetic landscape to precisely rewire cellular transcriptional programs (RNA-Seq)","Expression profiling by high throughput sequencing","Homo sapiens",4,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65688/suppl",,SRP053267,"Ivan D'Orso","Jun 15, 2015"
GSE65689,"Tat controls RNA Polymerase II and the epigenetic landscape to precisely rewire cellular transcriptional programs","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",28,,"BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65689/suppl",,,"Ivan D'Orso","Jun 15, 2015"
GSE68938,"RNA:DNA hybrids in the human genome have distinctive nucleotide characteristics, chromatin composition, and transcriptional relationships (RNA-seq)","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68938/suppl",,SRP058387,"Julie Nadel","Jun 15, 2015"
GSE68953,"RNA:DNA hybrids in the human genome have distinctive nucleotide characteristics, chromatin composition, and transcriptional relationships","Expression profiling by high throughput sequencing;Other","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68953/suppl",26579211,,"Julie Nadel","Jun 15, 2015"
GSE66895,"Disease-Associated SNPs From non-Coding Regions in Juvenile Idiopathic Arthritis Are Located Within or Adjacent to Functional Genomic Elements of Human Neutrophils and CD4+ T Cells [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",3,,"BEDGRAPH;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66895/suppl",25833190,SRP056159,"Lisha Zhu","Jun 12, 2015"
GSE66898,"Disease-Associated SNPs From non-Coding Regions in Juvenile Idiopathic Arthritis Are Located Within or Adjacent to Functional Genomic Elements of Human Neutrophils and CD4+ T Cells","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",12,,"BEDGRAPH;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66898/suppl",25833190,,"Lisha Zhu","Jun 12, 2015"
GSE38790,"Somatic cell fusions reveal extensive heterogeneity in basal-like breast cancer [DGE]","Expression profiling by high throughput sequencing","Homo sapiens",10,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38790/suppl",26051943,SRP013812,"Kornelia Polyak","Jun 10, 2015"
GSE65235,"Identification of transcripts regulated by CEBPA protein and its P30 isoform in K562","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65235/suppl",26053097,SRP052781,"Alessandro Fatica","Jun 10, 2015"
GSE66769,"Discovery of novel isoforms of Huntingtin reveals a new hominid-specific exon","Expression profiling by high throughput sequencing","Homo sapiens",3,,"FPKM_TRACKING","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66769/suppl",26010866,SRP056066,"Albert Ruzo","Jun 10, 2015"
GSE69114,"Somatic cell fusions reveal extensive heterogeneity in basal-like breast cancer [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",10,,"FPKM_TRACKING","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69114/suppl",26051943,SRP058571,"Kornelia Polyak","Jun 10, 2015"
GSE69678,"TALENs-mediated gene disruption of FLT3 in leukemia cells: Using genome-editing approach for exploring the molecular basis of gene abnormality","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69678/suppl",,SRP059266,"wang jue","Jun 10, 2015"
GSE38548,"Somatic cell fusions reveal extensive heterogeneity in basal-like breast cancer","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing;Methylation profiling by array;Genome variation profiling by SNP array;Methylation profiling by genome tiling array","Homo sapiens",106,,"BED;BW;CEL;FPKM_TRACKING;PROBSCOREISLAND;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38548/suppl",26051943,,"Kornelia Polyak","Jun 09, 2015"
GSE63591,"N6-methyladenosine Modulates Messenger RNA Translation Efficiency","Expression profiling by high throughput sequencing;Other;Non-coding RNA profiling by high throughput sequencing","Homo sapiens",18,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63591/suppl",26046440,SRP050213,"Chuan He","Jun 09, 2015"
GSE67543,"Novel Observations from Next Generation RNA Sequencing of Highly Purified Human Adult and Fetal Islet Cell Subsets","Expression profiling by high throughput sequencing","Homo sapiens",24,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67543/suppl",25931473,SRP056835,"Shaked Afik","Jun 08, 2015"
GSE69597,"Refining brucellosis diagnosis by blood transcriptional profiling.","Expression profiling by high throughput sequencing","Homo sapiens",169,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69597/suppl",,SRP059172,"Scott Presnell","Jun 06, 2015"
GSE69618,"An orthologous epigenetic gene expression signature derived from differentiating embryonic stem cells identifies regulators of cardiogenesis","Expression profiling by high throughput sequencing","Homo sapiens",34,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69618/suppl",26485529,SRP059197,"Brian Busser","Jun 06, 2015"
GSE69529,"Elucidating the etiology and molecular pathogenicity of infectious diarrhea by high throughput RNA sequencing","Expression profiling by high throughput sequencing","Homo sapiens",255,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69529/suppl",,SRP059039,"Scott Presnell","Jun 04, 2015"
GSE61600,"Comparison of human PRDM12 mutants D31Y and E172D with wildtype fibroblasts","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61600/suppl",25891934,SRP047363,"Vanja Nagy","Jun 03, 2015"
GSE63818,"The Transcriptome and DNA Methylome Landscapes of Human Primordial Germ Cells","Expression profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens",364,,"BED;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63818/suppl",26046443,SRP050499,"Hongshan Guo","Jun 03, 2015"
GSE69405,"Single-cell RNA sequencing of lung adenocarcinoma patient-derived cells","Expression profiling by high throughput sequencing;Other","Homo sapiens",208,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69405/suppl",26084335,SRP059035,"Kyu-Tae Kim","Jun 03, 2015"
GSE38393,"Hi-seq 2000 sequencing facilitates quantitative analysis of transcriptomes in LNCaP cells with or without SiGATA2 treatment.","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38393/suppl",,SRP013473,"Zhenqing Ye","Jun 01, 2015"
GSE38452,"A Class of H3K4me1/H3K9me2 marked active GATA2 enhancers directs a GATA2-dependent transcription program underlying prostate cancer progression.","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,,,,,"Zhenqing Ye","Jun 01, 2015"
GSE47917,"Genome alterations in human pluripotent stem cells as very early events highly dependent on cell passaging conditions","Genome variation profiling by SNP array;Expression profiling by array;Expression profiling by high throughput sequencing","Homo sapiens",30,,"CEL;CHP;CNCHP;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47917/suppl",,,"Qiang BAI","Jun 01, 2015"
GSE47946,"Transcriptome of embryonic stem cells cultured in enzymatic and mechanic passaging methods [RNA-seq]","Expression profiling by high throughput sequencing","Homo sapiens",3,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47946/suppl",,SRP026033,"Qiang BAI","Jun 01, 2015"
GSE62820,"RNA-Seq data for five HER2 over-expressed samples with twelve green fluorescent protein control samples using human mammary epithelial cells","Expression profiling by high throughput sequencing","Homo sapiens",17,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62820/suppl",26209429,SRP049377,"Mumtahena Rahman","Jun 01, 2015"
GSE64179,"Bacterial Infection Remodels the DNA Methylation Landscape of Human Dendritic Cells (mRNA-Seq)","Expression profiling by high throughput sequencing","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64179/suppl",26392366,SRP051368,"Alain Pacis","Jun 01, 2015"
GSE64182,"Bacterial Infection Remodels the DNA Methylation Landscape of Human Dendritic Cells (wtRNA-Seq)","Expression profiling by high throughput sequencing","Homo sapiens",6,,"BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64182/suppl",26392366,SRP051369,"Alain Pacis","Jun 01, 2015"
GSE64183,"Bacterial Infection Remodels the DNA Methylation Landscape of Human Dendritic Cells","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens",62,,"BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64183/suppl",26392366,,"Alain Pacis","Jun 01, 2015"
GSE64399,"Human Schlafen 5 (SLFN5) is a Regulator of Motility and   Invasiveness of Renal Cell Carcinoma (RCC) Cells","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64399/suppl",26012550,SRP051401,"Yiting Yu","Jun 01, 2015"
GSE68228,"Alternative splicing in genes encoding adhesion- and motility-related proteins in breast cancer","Expression profiling by high throughput sequencing","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68228/suppl",,SRP057627,"Valerio Costa","Jun 01, 2015"
GSE68471,"EnD-Seq and AppEnD: Sequencing 3' ends to identify non-templated tails and degradation intermediates","Expression profiling by high throughput sequencing","Drosophila melanogaster;Homo sapiens",5,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68471/suppl",26015596,SRP057878,"William F Marzluff","Jun 01, 2015"
GSE68631,"Ribozyme-enhanced single-stranded Ago2-processed interfering RNA triggers efficient gene silencing with fewer off-target effects.","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Homo sapiens",11,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68631/suppl",26455506,SRP058087,"Fengjuan Zhang","Jun 01, 2015"
GSE69360,"A resource of ribosomal RNA-depleted RNA-seq from different normal adult and fetal human tissues","Expression profiling by high throughput sequencing","Homo sapiens",19,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69360/suppl",26594381,SRP058036,"Melissa Jane Fullwood","May 29, 2015"
GSE63392,"RNA-Seq of cKIT+ sorted cells from 53-137 day old fetal testes and ovaries and RNA-Seq of TRA-1-81+ H1 and UCLA1 hESCs.","Expression profiling by high throughput sequencing","Homo sapiens",19,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63392/suppl",26004067,SRP049981,"Sofia Gkountela","May 28, 2015"
GSE63394,"cKIT+ sorted cells from 57-137 day old fetal testes and ovaries","Expression profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens",26,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63394/suppl",26004067,,"Sofia Gkountela","May 28, 2015"
GSE66302,"A human fetal transcriptional atlas","Expression profiling by high throughput sequencing","Homo sapiens",111,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66302/suppl",26028532,SRP055513,"Nannan He","May 28, 2015"
GSE66727,"The Landscape of Antisense Gene Expression in Human Cancers [I]","Expression profiling by high throughput sequencing","Homo sapiens",23,,,,26063736,SRP048484,"Oscar Alejandro Balbin","May 28, 2015"
GSE66728,"The Landscape of Antisense Gene Expression in Human Cancers [II]","Expression profiling by high throughput sequencing","Homo sapiens",353,,,,26063736,,"Oscar Alejandro Balbin","May 28, 2015"
GSE66729,"The Landscape of Antisense Gene Expression in Human Cancer","Expression profiling by high throughput sequencing","Homo sapiens",376,,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66729/suppl",26063736,,"Oscar Alejandro Balbin","May 28, 2015"
GSE67866,"RNA sequencing of cells treated with DMSO or Retinoic acid during cardiac differentiation","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67866/suppl",26028532,SRP057156,"Nannan He","May 28, 2015"
GSE68975,"Activation of proto-oncogenes by disruption of chromosome neighborhoods [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",1,,"WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68975/suppl",26940867,SRP058435,"Richard A Young","May 28, 2015"
GSE68978,"Activation of proto-oncogenes by disruption of chromosome neighborhoods","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",22,,"BED12;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68978/suppl",26940867,,"Richard A Young","May 28, 2015"
GSE55169,"Pervasive genomic transcription during oxidative stress generates thousands of previously uncharacterized lncRNAs (RNA-Seq)","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Homo sapiens",12,,"BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55169/suppl",26024509,SRP038132,"Jingxian Zhang","May 27, 2015"
GSE55172,"Pervasive genomic transcription during oxidative stress generates thousands of previously uncharacterized lncRNAs","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",21,,"BEDGRAPH;BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55172/suppl",26024509,,"Jingxian Zhang","May 27, 2015"
GSE65621,"Asymmetry of STAT action in driving IL-27 and IL-6 transcriptional outputs and cytokine specificity","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",102,,"BW;XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65621/suppl",25992861,SRP053186,"Yuka Kanno","May 27, 2015"
GSE68341,"Genome-Wide Specificity of DNA-Binding, Gene Regulation, and Chromatin Remodeling by TALE- and CRISPR/Cas9-Based Transcription Factors","Expression profiling by high throughput sequencing","Homo sapiens",9,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68341/suppl",26025803,SRP057745,"Christopher Vockley","May 27, 2015"
GSE59717,"Wide-spread disruption of transcription termination in HSV-1 infection:  Next generation sequencing of total and newly transcribed (4sU-RNA) RNA","Expression profiling by high throughput sequencing","Homo sapiens",28,,"RPKM","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59717/suppl",25989971,SRP044766,"Caroline Friedel","May 26, 2015"
GSE60040,"Wide-spread disruption of transcription termination in HSV-1 infection: Next-generation sequencing of translational activityd by ribosome profiling","Expression profiling by high throughput sequencing","Homo sapiens",12,,"RPKM","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60040/suppl",25989971,SRP045214,"Caroline Friedel","May 26, 2015"
GSE63283,"Slit2 modifies VEGF-induced angiogenic responses in rabbit skeletal muscle by inducing capillary sprouting and decreasing vascular permeability via reduced eNOS activity","Expression profiling by high throughput sequencing","Homo sapiens",8,,"BEDGRAPH;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63283/suppl",26002231,SRP049805,"Minna U Kaikkonen","May 26, 2015"
GSE69169,"Transcriptome-wide identification of LARP4B binding sites in HEK293 cells","Other;Expression profiling by high throughput sequencing","Homo sapiens",1,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69169/suppl",26001795,SRP058630,"Markus Landthaler","May 26, 2015"
GSE49711,"RNA-Seq reveals an unprecedented complexity of the neuroblastoma transcriptome and is suitable for clinical endpoint prediction [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",498,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE49nnn/GSE49711/suppl",25150839;25150838;25254650,,"Leming Shi","May 22, 2015"
GSE68358,"RNA-seq in two ER+ breast cancer cell lines with and without progestins","Expression profiling by high throughput sequencing","Homo sapiens",48,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68358/suppl",26153859,SRP057758,"Chandra Chilamakuri","May 22, 2015"
GSE68359,"Progesterone receptor directs a distinct estrogen receptor-alpha chromatin binding profile in breast cancer to elicit good clinical outcome","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",197,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68359/suppl",26153859,,"Chandra Chilamakuri","May 22, 2015"
GSE61264,"Genome-wide Definition of Promoter and Enhancer Usage During Neural Induction of Human Embryonic Stem Cells [CAGE-seq]","Expression profiling by high throughput sequencing","Homo sapiens",1,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61264/suppl",25978676,SRP046749,"Silvio Bicciato","May 21, 2015"
